date,open,high,low,close,volume,adj_close,fetched_at
2023-10-01,508.0,508.0,457.2,457.2,318724,457.2,2026-09-03T19:36:43.367659+00:00
2023-10-02,450.0,457.0,442.1,450.9,287052,450.9,2026-09-03T19:36:43.367659+00:00
2023-10-03,446.0,450.0,445.0,446.0,125451,446.0,2026-09-03T19:36:43.367659+00:00
2023-10-04,437.1,454.2,437.1,447.7,154840,447.7,2026-09-03T19:36:43.367659+00:00
2023-10-05,447.7,447.7,441.1,442.0,99886,442.0,2026-09-03T19:36:43.367659+00:00
2023-10-08,442.0,444.0,431.0,432.3,104649,432.3,2026-09-03T19:36:43.367659+00:00
2023-10-09,430.0,433.0,424.1,424.6,69000,424.6,2026-09-03T19:36:43.367659+00:00
2023-10-10,420.0,429.9,418.0,418.2,61914,418.2,2026-09-03T19:36:43.367659+00:00
2023-10-11,413.6,425.0,413.6,417.3,60228,417.3,2026-09-03T19:36:43.367659+00:00
2023-10-12,415.1,420.0,408.0,410.0,79060,410.0,2026-09-03T19:36:43.367659+00:00
2023-10-16,405.1,408.0,390.6,393.1,92874,393.1,2026-09-03T19:36:43.367659+00:00
2023-10-17,395.0,407.0,394.2,399.0,41125,399.0,2026-09-03T19:36:43.367659+00:00
2023-10-18,399.0,409.5,396.0,407.0,45507,407.0,2026-09-03T19:36:43.367659+00:00
2023-10-19,402.0,409.3,400.1,404.0,34627,404.0,2026-09-03T19:36:43.367659+00:00
2023-10-29,396.2,400.0,390.0,394.0,58403,394.0,2026-09-03T19:36:43.367659+00:00
2023-10-30,390.0,393.8,388.5,391.0,35285,391.0,2026-09-03T19:36:43.367659+00:00
2023-10-31,391.0,394.0,389.1,391.0,31696,391.0,2026-09-03T19:36:43.367659+00:00
2023-11-01,386.0,395.0,386.0,389.0,38011,389.0,2026-09-03T19:36:43.367659+00:00
2023-11-02,381.3,389.0,381.3,382.0,37752,382.0,2026-09-03T19:36:43.367659+00:00
2023-11-05,381.3,381.3,375.2,378.0,36349,378.0,2026-09-03T19:36:43.367659+00:00
2023-11-06,375.0,387.0,375.0,383.7,37391,383.7,2026-09-03T19:36:43.367659+00:00
2023-11-07,383.5,403.2,382.0,403.0,56868,403.0,2026-09-03T19:36:43.367659+00:00
2023-11-08,400.0,413.8,397.0,413.0,53030,413.0,2026-09-03T19:36:43.367659+00:00
2023-11-09,406.2,411.1,398.5,405.6,41773,405.6,2026-09-03T19:36:43.367659+00:00
2023-11-20,405.0,415.5,401.2,406.4,56840,406.4,2026-09-03T19:36:43.367659+00:00
2023-11-21,402.0,406.0,394.0,396.0,46023,396.0,2026-09-03T19:36:43.367659+00:00
2023-11-22,389.1,409.0,389.1,406.2,45978,406.2,2026-09-03T19:36:43.367659+00:00
2023-11-23,400.2,434.0,400.2,430.0,125720,430.0,2026-09-03T19:36:43.367659+00:00
2023-11-26,430.0,455.0,425.0,453.0,141953,453.0,2026-09-03T19:36:43.367659+00:00
2023-11-27,445.0,462.0,445.0,450.0,143945,450.0,2026-09-03T19:36:43.367659+00:00
2023-11-28,443.0,456.0,443.0,448.2,99371,448.2,2026-09-03T19:36:43.367659+00:00
2023-11-29,448.0,456.0,435.0,440.0,95304,440.0,2026-09-03T19:36:43.367659+00:00
2023-11-30,431.2,443.5,431.2,440.0,66153,440.0,2026-09-03T19:36:43.367659+00:00
2023-12-03,435.0,445.0,434.0,440.0,63343,440.0,2026-09-03T19:36:43.367659+00:00
2023-12-04,440.0,455.0,438.1,449.8,116797,449.8,2026-09-03T19:36:43.367659+00:00
2023-12-05,458.7,473.0,455.0,461.0,176066,461.0,2026-09-03T19:36:43.367659+00:00
2023-12-06,461.0,482.0,458.3,482.0,122992,482.0,2026-09-03T19:36:43.367659+00:00
2023-12-07,473.0,480.0,465.0,468.0,202661,468.0,2026-09-03T19:36:43.367659+00:00
2023-12-10,477.0,499.8,477.0,495.0,30869,495.0,2026-09-03T19:36:43.367659+00:00
2023-12-11,500.0,503.8,480.2,494.3,296185,494.3,2026-09-03T19:36:43.367659+00:00
2023-12-12,494.0,532.0,492.0,523.1,213327,523.1,2026-09-03T19:36:43.367659+00:00
2023-12-13,525.0,533.5,510.0,518.0,140605,518.0,2026-09-03T19:36:43.367659+00:00
2023-12-14,508.0,520.0,500.0,510.1,148129,510.1,2026-09-03T19:36:43.367659+00:00
