date,open,high,low,close,volume,adj_close,fetched_at
2026-04-10,284.3,312.7,284.3,312.7,140,312.7,2026-09-03T19:37:28.232168+00:00
2026-04-13,312.1,343.9,312.1,343.9,230,343.9,2026-09-03T19:37:28.232168+00:00
2026-04-15,340.6,378.2,340.6,378.2,280,378.2,2026-09-03T19:37:28.232168+00:00
2026-04-16,372.5,416.0,372.5,416.0,200,416.0,2026-09-03T19:37:28.232168+00:00
2026-04-17,424.3,457.6,424.3,457.6,220,457.6,2026-09-03T19:37:28.232168+00:00
2026-04-20,471.3,526.2,471.3,526.2,380,526.2,2026-09-03T19:37:28.232168+00:00
2026-04-21,528.7,605.1,528.7,605.1,580,605.1,2026-09-03T19:37:28.232168+00:00
2026-04-22,623.2,695.8,623.2,695.8,780,695.8,2026-09-03T19:37:28.232168+00:00
2026-04-23,730.5,800.1,730.5,800.1,1640,800.1,2026-09-03T19:37:28.232168+00:00
2026-04-24,840.1,920.1,840.1,920.1,1800,920.1,2026-09-03T19:37:28.232168+00:00
2026-04-27,966.1,1058.1,966.1,1058.1,4380,1058.1,2026-09-03T19:37:28.232168+00:00
2026-04-28,1111.0,1216.8,1000.1,1002.0,128510,1002.0,2026-09-03T19:37:28.232168+00:00
2026-04-29,1002.0,1002.0,891.0,902.6,126545,902.6,2026-09-03T19:37:28.232168+00:00
2026-04-30,876.0,1028.0,854.0,974.0,62190,974.0,2026-09-03T19:37:28.232168+00:00
2026-05-04,974.0,1003.2,902.0,905.0,37868,905.0,2026-09-03T19:37:28.232168+00:00
2026-05-05,859.8,909.4,859.8,900.0,43463,900.0,2026-09-03T19:37:28.232168+00:00
2026-05-06,875.0,898.0,855.0,865.0,24250,865.0,2026-09-03T19:37:28.232168+00:00
2026-05-07,865.0,889.0,830.4,832.0,20929,832.0,2026-09-03T19:37:28.232168+00:00
2026-05-08,830.0,888.0,825.1,856.0,27199,856.0,2026-09-03T19:37:28.232168+00:00
2026-05-11,860.0,895.0,860.0,867.3,29500,867.3,2026-09-03T19:37:28.232168+00:00
2026-05-12,867.0,896.0,833.1,839.0,28867,839.0,2026-09-03T19:37:28.232168+00:00
2026-05-13,830.0,848.9,815.0,816.0,23200,816.0,2026-09-03T19:37:28.232168+00:00
2026-05-14,815.0,828.9,792.0,797.0,20520,797.0,2026-09-03T19:37:28.232168+00:00
2026-05-15,806.0,824.0,793.0,799.0,18488,799.0,2026-09-03T19:37:28.232168+00:00
2026-05-18,799.0,820.0,785.0,785.1,14531,785.1,2026-09-03T19:37:28.232168+00:00
2026-05-19,780.0,790.0,760.1,768.0,23474,768.0,2026-09-03T19:37:28.232168+00:00
2026-05-20,750.4,815.0,750.4,815.0,22701,815.0,2026-09-03T19:37:28.232168+00:00
2026-05-21,824.0,824.0,790.2,799.0,15845,799.0,2026-09-03T19:37:28.232168+00:00
2026-05-22,765.0,822.0,765.0,815.0,27362,815.0,2026-09-03T19:37:28.232168+00:00
2026-05-25,815.0,860.0,810.0,848.2,41090,848.2,2026-09-03T19:37:28.232168+00:00
2026-05-26,848.0,853.0,826.4,832.0,15181,832.0,2026-09-03T19:37:28.232168+00:00
2026-05-27,791.1,842.9,791.1,830.0,22973,830.0,2026-09-03T19:37:28.232168+00:00
2026-06-01,825.0,829.0,790.7,797.0,26402,797.0,2026-09-03T19:37:28.232168+00:00
2026-06-02,795.0,800.0,787.0,796.6,18633,796.6,2026-09-03T19:37:28.232168+00:00
2026-06-03,792.0,815.0,778.0,783.0,17641,783.0,2026-09-03T19:37:28.232168+00:00
2026-06-04,776.1,795.0,776.1,787.0,13445,787.0,2026-09-03T19:37:28.232168+00:00
2026-06-05,748.2,790.0,748.2,773.0,13831,773.0,2026-09-03T19:37:28.232168+00:00
2026-06-08,745.0,775.0,745.0,758.0,17834,758.0,2026-09-03T19:37:28.232168+00:00
2026-06-09,758.0,771.9,745.0,769.0,19013,769.0,2026-09-03T19:37:28.232168+00:00
2026-06-10,770.0,792.0,760.0,770.0,23656,770.0,2026-09-03T19:37:28.232168+00:00
2026-06-11,770.0,788.0,755.4,760.0,12395,760.0,2026-09-03T19:37:28.232168+00:00
2026-06-12,758.1,770.0,750.0,753.0,9839,753.0,2026-09-03T19:37:28.232168+00:00
2026-06-15,753.0,760.0,735.5,742.4,14877,742.4,2026-09-03T19:37:28.232168+00:00
2026-06-16,736.0,745.0,730.0,732.0,16910,732.0,2026-09-03T19:37:28.232168+00:00
2026-06-17,733.0,740.0,720.0,728.0,13451,728.0,2026-09-03T19:37:28.232168+00:00
2026-06-18,730.0,747.0,712.1,720.0,22121,720.0,2026-09-03T19:37:28.232168+00:00
2026-06-19,720.0,729.9,711.0,728.0,13271,728.0,2026-09-03T19:37:28.232168+00:00
2026-06-22,691.6,735.2,691.6,716.2,15332,716.2,2026-09-03T19:37:28.232168+00:00
2026-06-23,725.0,725.0,693.0,695.0,17245,695.0,2026-09-03T19:37:28.232168+00:00
2026-06-24,680.0,700.0,651.0,690.0,21774,690.0,2026-09-03T19:37:28.232168+00:00
2026-06-25,669.4,688.0,669.4,679.7,7686,679.7,2026-09-03T19:37:28.232168+00:00
2026-06-26,662.0,685.7,661.0,673.5,15727,673.5,2026-09-03T19:37:28.232168+00:00
2026-06-29,707.0,707.0,644.0,648.0,16505,648.0,2026-09-03T19:37:28.232168+00:00
2026-06-30,648.0,648.0,617.0,620.0,12614,620.0,2026-09-03T19:37:28.232168+00:00
2026-07-01,610.0,657.7,601.5,648.4,14520,648.4,2026-09-03T19:37:28.232168+00:00
2026-07-02,648.0,648.0,624.0,640.0,3860,640.0,2026-09-03T19:37:28.232168+00:00
2026-07-03,640.0,644.0,621.0,630.0,5312,630.0,2026-09-03T19:37:28.232168+00:00
2026-07-06,621.4,625.0,612.5,613.0,8457,613.0,2026-09-03T19:37:28.232168+00:00
2026-07-07,600.0,630.0,598.0,609.0,14593,609.0,2026-09-03T19:37:28.232168+00:00
