date,open,high,low,close,volume,adj_close,fetched_at
2022-08-15,694.5,694.5,637.8,637.8,9881,637.8,2026-09-03T19:34:22.334587+00:00
2022-08-16,625.1,658.9,580.0,628.0,658249,628.0,2026-09-03T19:34:22.334587+00:00
2022-08-17,615.5,659.0,615.5,644.0,286860,644.0,2026-09-03T19:34:22.334587+00:00
2022-08-18,650.0,650.0,629.0,632.0,163459,632.0,2026-09-03T19:34:22.334587+00:00
2022-08-21,632.0,632.0,611.0,612.0,199022,612.0,2026-09-03T19:34:22.334587+00:00
2022-08-22,612.0,618.9,603.0,609.8,139622,609.8,2026-09-03T19:34:22.334587+00:00
2022-08-23,600.0,625.0,600.0,615.0,124029,615.0,2026-09-03T19:34:22.334587+00:00
2022-08-24,610.0,630.0,610.0,616.0,91124,616.0,2026-09-03T19:34:22.334587+00:00
2022-08-25,616.0,622.0,596.0,600.0,155520,600.0,2026-09-03T19:34:22.334587+00:00
2022-08-26,594.0,599.7,587.0,591.0,99335,591.0,2026-09-03T19:34:22.334587+00:00
2022-08-28,588.0,598.0,575.1,575.1,102012,575.1,2026-09-03T19:34:22.334587+00:00
2022-08-29,563.6,584.0,563.6,578.8,61415,578.8,2026-09-03T19:34:22.334587+00:00
2022-08-30,567.3,589.5,567.3,575.0,51489,575.0,2026-09-03T19:34:22.334587+00:00
2022-08-31,572.0,580.0,559.0,579.0,113471,579.0,2026-09-03T19:34:22.334587+00:00
2022-09-01,570.0,581.0,566.2,579.0,72644,579.0,2026-09-03T19:34:22.334587+00:00
2022-09-02,570.0,581.0,562.0,564.0,39637,564.0,2026-09-03T19:34:22.334587+00:00
2022-09-04,574.9,597.9,568.0,588.0,152736,588.0,2026-09-03T19:34:22.334587+00:00
2022-09-05,591.1,614.0,591.1,607.0,164610,607.0,2026-09-03T19:34:22.334587+00:00
2022-09-06,619.0,619.0,581.0,584.0,152914,584.0,2026-09-03T19:34:22.334587+00:00
2022-09-07,595.6,595.6,573.0,573.5,52789,573.5,2026-09-03T19:34:22.334587+00:00
2022-09-08,581.9,585.4,570.0,576.0,76993,576.0,2026-09-03T19:34:22.334587+00:00
2022-09-11,587.5,587.5,563.0,566.0,48347,566.0,2026-09-03T19:34:22.334587+00:00
2022-09-12,577.3,577.3,558.0,560.4,49812,560.4,2026-09-03T19:34:22.334587+00:00
2022-09-13,567.0,577.0,560.0,564.0,99180,564.0,2026-09-03T19:34:22.334587+00:00
2022-09-14,575.2,580.0,566.0,577.0,64873,577.0,2026-09-03T19:34:22.334587+00:00
2022-09-15,568.0,576.8,544.0,550.0,209781,550.0,2026-09-03T19:34:22.334587+00:00
2022-09-16,539.0,540.1,522.2,537.0,79516,537.0,2026-09-03T19:34:22.334587+00:00
2022-09-18,531.0,541.0,515.0,516.0,70375,516.0,2026-09-03T19:34:22.334587+00:00
2022-09-20,515.0,515.0,505.0,506.0,105117,506.0,2026-09-03T19:34:22.334587+00:00
2022-09-21,506.0,518.0,505.0,509.1,47176,509.1,2026-09-03T19:34:22.334587+00:00
2022-09-22,509.0,514.0,499.8,501.0,31428,501.0,2026-09-03T19:34:22.334587+00:00
2022-09-25,500.0,500.0,484.0,484.0,71307,484.0,2026-09-03T19:34:22.334587+00:00
2022-09-27,493.0,498.0,481.7,486.0,58438,486.0,2026-09-03T19:34:22.334587+00:00
2022-09-28,490.0,495.7,478.0,480.9,42076,480.9,2026-09-03T19:34:22.334587+00:00
2022-09-29,476.0,495.0,476.0,479.9,45853,479.9,2026-09-03T19:34:22.334587+00:00
2022-10-09,489.0,489.0,480.0,487.0,23702,487.0,2026-09-03T19:34:22.334587+00:00
2022-10-10,490.0,496.0,471.5,474.7,33002,474.7,2026-09-03T19:34:22.334587+00:00
2022-10-11,474.0,474.0,460.5,462.0,44518,462.0,2026-09-03T19:34:22.334587+00:00
2022-10-12,471.0,471.0,457.0,460.0,43841,460.0,2026-09-03T19:34:22.334587+00:00
2022-10-13,461.0,470.0,461.0,464.0,61098,464.0,2026-09-03T19:34:22.334587+00:00
2022-10-16,473.2,473.2,457.1,458.0,60380,458.0,2026-09-03T19:34:22.334587+00:00
2022-10-17,455.0,466.9,455.0,459.8,49256,459.8,2026-09-03T19:34:22.334587+00:00
2022-10-19,456.0,458.0,445.2,446.0,51769,446.0,2026-09-03T19:34:22.334587+00:00
2022-10-20,446.0,452.3,439.5,443.0,23599,443.0,2026-09-03T19:34:22.334587+00:00
2022-10-23,451.8,451.8,437.0,443.5,32802,443.5,2026-09-03T19:34:22.334587+00:00
2022-10-31,450.0,450.0,432.2,437.0,26273,437.0,2026-09-03T19:34:22.334587+00:00
2022-11-01,445.7,468.0,427.4,458.8,110101,458.8,2026-09-03T19:34:22.334587+00:00
2022-11-02,467.9,470.0,453.0,458.5,112547,458.5,2026-09-03T19:34:22.334587+00:00
2022-11-03,450.0,465.0,445.0,445.1,57287,445.1,2026-09-03T19:34:22.334587+00:00
2022-11-06,453.9,465.9,445.0,464.0,67835,464.0,2026-09-03T19:34:22.334587+00:00
2022-11-07,468.9,499.0,464.0,479.0,198293,479.0,2026-09-03T19:34:22.334587+00:00
2022-11-08,481.0,492.0,481.0,483.0,90122,483.0,2026-09-03T19:34:22.334587+00:00
2022-11-09,492.6,492.6,468.0,470.0,102291,470.0,2026-09-03T19:34:22.334587+00:00
2022-11-10,470.0,475.0,454.0,458.0,71691,458.0,2026-09-03T19:34:22.334587+00:00
2022-11-13,455.4,465.0,450.1,454.1,39744,454.1,2026-09-03T19:34:22.334587+00:00
2022-11-14,453.0,470.0,453.0,469.0,48455,469.0,2026-09-03T19:34:22.334587+00:00
2022-11-15,478.0,479.0,456.0,458.0,40267,458.0,2026-09-03T19:34:22.334587+00:00
2022-11-16,450.1,488.0,450.1,482.9,127015,482.9,2026-09-03T19:34:22.334587+00:00
2022-11-17,486.0,522.2,486.0,512.0,282016,512.0,2026-09-03T19:34:22.334587+00:00
2022-11-22,515.0,526.0,511.2,513.0,167496,513.0,2026-09-03T19:34:22.334587+00:00
2022-12-05,523.2,538.0,494.8,497.9,599465,497.9,2026-09-03T19:34:22.334587+00:00
2022-12-06,495.0,505.0,484.3,498.0,101349,498.0,2026-09-03T19:34:22.334587+00:00
2022-12-07,507.9,507.9,493.2,494.1,66788,494.1,2026-09-03T19:34:22.334587+00:00
2022-12-11,500.0,500.0,483.0,484.2,65916,484.2,2026-09-03T19:34:22.334587+00:00
2022-12-12,490.0,491.9,480.2,490.0,71118,490.0,2026-09-03T19:34:22.334587+00:00
2022-12-13,490.0,493.0,480.2,490.0,49287,490.0,2026-09-03T19:34:22.334587+00:00
2022-12-14,490.1,490.1,479.0,479.3,52314,479.3,2026-09-03T19:34:22.334587+00:00
2022-12-15,472.1,483.0,468.3,469.0,48479,469.0,2026-09-03T19:34:22.334587+00:00
2022-12-18,471.0,471.0,449.0,450.0,119323,450.0,2026-09-03T19:34:22.334587+00:00
2022-12-19,450.0,459.0,442.0,452.0,50430,452.0,2026-09-03T19:34:22.334587+00:00
2022-12-20,459.9,461.0,454.0,458.0,36428,458.0,2026-09-03T19:34:22.334587+00:00
2022-12-21,467.1,467.1,442.0,445.0,62074,445.0,2026-09-03T19:34:22.334587+00:00
2022-12-22,450.0,453.9,441.0,444.0,37757,444.0,2026-09-03T19:34:22.334587+00:00
2022-12-26,452.0,478.0,452.0,477.0,155849,477.0,2026-09-03T19:34:22.334587+00:00
2022-12-27,485.0,495.0,479.0,480.6,136545,480.6,2026-09-03T19:34:22.334587+00:00
2022-12-28,490.2,490.2,470.5,477.0,167904,477.0,2026-09-03T19:34:22.334587+00:00
2022-12-29,485.9,499.8,473.0,497.0,205678,497.0,2026-09-03T19:34:22.334587+00:00
2023-01-01,506.9,510.0,490.0,495.0,155841,495.0,2026-09-03T19:34:22.334587+00:00
2023-01-02,494.5,506.0,488.1,497.9,119911,497.9,2026-09-03T19:34:22.334587+00:00
2023-01-03,500.0,505.0,489.0,489.0,130291,489.0,2026-09-03T19:34:22.334587+00:00
